"","date","new_cases_clarke","cases_cum_clarke","X7_day_ave_clarke","wrf","collection_num","target","mean_copy_num_uL_rxn","mean_copy_num_L","sd_L","se_L","mean_total_copies","sd_total_copies","lo_95","up_95"
"1",2020-03-15,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-03-16,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-03-17,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-03-18,4,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-03-19,3,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-03-20,1,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-03-21,1,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-03-22,2,17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-03-23,5,22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-03-24,2,24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020-03-25,3,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2020-03-26,6,33,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-03-27,5,38,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020-03-28,1,39,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020-03-29,1,40,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2020-03-30,8,48,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-03-31,4,52,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2020-04-01,4,56,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2020-04-02,2,58,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2020-04-03,2,60,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2020-04-04,1,61,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2020-04-05,3,64,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2020-04-06,9,73,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2020-04-07,5,78,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2020-04-08,6,84,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2020-04-09,2,86,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2020-04-10,0,86,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2020-04-11,2,88,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2020-04-12,0,88,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2020-04-13,3,91,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2020-04-14,4,95,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2020-04-15,6,101,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2020-04-16,0,101,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2020-04-17,5,106,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2020-04-18,0,106,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2020-04-19,3,109,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2020-04-20,5,114,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2020-04-21,1,115,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2020-04-22,1,116,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2020-04-23,6,122,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2020-04-24,3,125,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2020-04-25,1,126,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2020-04-26,0,126,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2020-04-27,16,142,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2020-04-28,3,145,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2020-04-29,2,147,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2020-04-30,3,150,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
